content,score
"fitur scan kamera depan min,hp ane kamera belakang nya rusak",4
rasa punya ku yg,5
"baik , sehat.",5
Tidak bisa digunakan!!!,1
sistem bobrok sertifikat tidak keluar dari tahun kemarin,1
"Gaje , knpa makin ribet sih , udh gabisa di Website , giliran Pake apk udh dnld , verifnya cma dikirim ke Whatsap , emng gabisa di sms aja? Gasemua nomer Hp disangkutin wa Pemerintahhh , Peka dong pemerintahhh , memperibet urusan rakyat terus kerjaan nya , Bukannya Mempermudahhh, Mending dlu peduli lindungi bisa Lewat web , masuknya gampang , ini makin ribet yang ada bukan satseTT",1
Aplikasinya kurang bagus masak vaksin 3 enggak ada orang udah vaksin,2
Taeee susah masuk padahal udah bener semua,1
Bg Opi yo g 9 ob Po u ml t,5
"Ini kenapa sih aplikasinya, padahal udah vaksin booster kedua bulan juni 2023. Smpe sekarang Oktober gak muncul tuh sertifikat. Pdahal katanya 3x24 jam setelah vaksin. Tapi kok ini lama banget ya gak keluar sertifikatnya. Bukannya mempermudah malah di persulit.",3
👎,1
Alhmdulillah .....salam sehat dan sejahtera sllu utk.....semua semesta rahmatan lilalamin.........Amien.3 YRA......🤲🤲🤲,4
"Pengaduan customer service terlalu lambat ,",1
"Vaksin booster sudah sebulan lebih, tapi gak muncul sertifikatnya. Mending hapus aja aplikasi ini, daripada kualitasnya buruk gini",1
Jelek bgt sumpah apk ga bermutu udah di masukin kode berkali² ga masuk²... Tolong di perbaiki,1
Error,1
"Prah ketrangan vaksin saya semua 3 tidak ada, Saya gak ngerti app ini sulit dipahami",1
Bgs aplikasinya,5
Applikasi apaan ini pas masuk mi ta kode Verifikasi yg dikirim by WA udah masukin no yg cocok masih dsruh ulang terus,1
Awal login no hp memang gak bisa Cuma membantu saja kalo pakai no hp gak bisa login caranya masuknya pake E-MAIL saja .Langsung email aja masuk ke email dpt kode langsung bisa .trmksh.,5
"Kode otp sudah benar namun di aplikasi di katakan tidak benar, harus mengirim ulang kode otp dan di salahkan lagi padahal sudah sesuai.",1
Top,5
Kembalikan aplikasi pedulilindingi seperti dulu!!!!,1
Eror,1
Saya vaksin 2 kali tapi aplikasi tampilan 1 kali vaksin,2
Muantab,5
"Aplikasi sampah,,,masak nomer NIK KTP aku dah sesuai sama nama aku di bilang nama tak sesuai NIK,,🤦🤦 yang bener aja,,negara Indonesia ini gimana bikin apk kok apk bobrok 🤦🤦🤦. Negara Indonesia ini bisa maju apa tambah mundur🤔🤔🤔???",1
"Udah gaguna, UNINSTALL",1
Data vaksin salah udah lapor puluhan kali masih tidak ada perubahan.masa harus ke calo biar data vaksin bisa sesuai.,1
