content,score
Matio,5
sangat cukup membantu,2
🥰,3
bagus,5
sangat membantu,5
Ok,5
bagus banget,5
mantep,4
baik,5
mantap🥳,4
puas bangett.. makasih canva,5
sangat mudah dan bagus,5
Sangat membantu pekerjaan sekolah,5
"bermanfaat, terima kasih",5
mayan membantu aamiin,5
bagus tapi sering lag,5
sangat membantu,5
suka bngt,5
canva membantu,5
👍👌,4
canva memberikan kemudahan bagi kita pengguna.,1
sangat bagus,5
sangat mudah dan bermanfaat,5
Ok baik sekali,5
🤟,5
baru mau belajar,3
bagus sekali kembangkan lagiya,5
bagus apk nyaa,5
sangat bagus,5
kereennn bangettt huhuuuu😭😭❤️Jadi gampang bangett dahh buat edit* foto & Vidio,5
terimakaih.. aplikasi yang sangat bagus,5
pembuatan poster sangat bagus dan menarik setiap buat,5
bagus untuk canva,5
sangat bagusss👍👍👍,5
ok,5
canva sangat membantu sekali dalam dunia per desain nan👍👍,5
perveck,5
baik,1
Very good,5
keren,4
Sangat membantu,5
Maa Syaa Allah sangat baik untuk mendesain apapun itu,5
mantap dan lengkap,5
servernya suka lemot dan eror,2
Lintang,5
"sangat membantu dan mudah, mantap 👍",5
MEMUDAHKAN BANGET UNTUK BIKIN MATERI,5
Bagus banget aplikasinya aku suka🥰🥰,5
Aplikasi yang bermanfaat,5
keren,2
Sangat bagus. Bisa membantu bagi meraka yang belum paham Ps,5
oke banget,5
bagus,5
Terlalu lemot dan bnyak bug,1
"Beberapa kali edit gambar pakai Canva lancar, fitur dan template nya banyak. Overall bintang 5",5
"aplikasi terkeren mnurutQ dlm dunia desain praktis bgt buat yg terburu"" buat desain",5
sangarrr,5
mantap,4
aplikasi sangat bagus,5
bagus,5
sangat mudah di gunakan,5
the best dah,5
sangat membantu,5
masih mencoba,5
sangat bagus aplikasinya sangat membantu dalam hal mendesain,5
mantap,5
cacad,1
Lucu,5
mantafppp,5
Sudah terinspirasi seluru indonesia,5
bagus,5
keren abis,5
mantaaappp bagus banget..,5
Good,5
Berguna,5
sangat bagus tapi harus lebih banyak pulihan warnanya,4
sangat membantu,5
"bagus banget aplikasinya, sangat bergunaaaa",5
mudah di pelajari,5
"banyak sekali desain bagus, sangat membantu",5
Lemot,1
👍👍,5
perfect,5
bagus banget,4
mantap,5
"Hasilnya bagus, mudah aplikasinya dan mantap",5
aplikasi good,5
Keren,5
membuat logo sangat bagus,5
"pertama kali coba, Bagus",4
bagus,5
Aplikasi ini bagus aku sangat menyukainya,4
Aku kok ga bisa ganti baju nya kayak ga ada letak fitur nya,2
Lemot banh,1
bgus,1
bagus bangett,4
top bgt,5
Mantab,5
Bagus skli apk nya,5
Cukup baik,5
sangat membantu,5
Bagus tapi jangan Lelet,5
👍👍,5
guud,5
keren,4
ok,4
disain mudah di pahami,5
"Awal aku pakai aplikasi ini bagus tapi setelah lama jadi warna putih,kalau udah di perbaiki aku kasih bintang 5",3
Bagusssssss bangttttttttttt canvaaaaaa🥰,5
mantep aplikasinya,4
saya sangat terkesan dan berkenan untuk belajar,5
Bagus,5
Bagus buat bikin tugas presentasi,5
terbaik,5
mantaap,3
"Saya tidak pernah berlangganan di apk ini, mungkin teman atau keluarga tanpa sepengetahuan saya minta pengembalian dana syaa mohon",2
wooo,5
"Stay since 8th of october then i had to uninstall yesterday, i dont wanna made spamming or worsen due to my data breach",5
aplikasi terbaik,5
best,5
sangat membantu,5
mantaf,4
"Aplikasinya bagus banget, suka karena bikin tugas jadi lebih gampang",5
keren,5
Sangat membantu,5
bagus sekali buat pemula seperti aku,4
top,5
keren,5
Yeq,1
sangat membantu,5
buagooouusss,5
sangat baik,5
mantap,5
Baguss bangett membantu buat nilai,5
good,5
Bagus banget meski awalnya bikin pusing soalnya tidak paham 🙏,5
Aplikasi yang bagus & bermanfaat,5
baik,5
bagus dan mudah,5
sangat membantu,3
yang grtis lebih banyak lagi dong,5
keren,5
bagus,5
ok,5
Canva so great 🫶🏻!,5
mantap membantu utk pengembangan usaha saya,4
Baru mau tes,4
sangat membantu dalam membuat tugas dan kreativitas,5
aplikasi canva bagus dan mantap😄👍,5
"🤗Sangat bagusss dan bisa untuk menyelesaikan tugas dari sekolah 👍👍 Apk nya sangat berguna, dan bermanfaat Dan cocok buat yg sedan mendesain gambar / pola untuk tugas atau lainnya",5
tidak bisa mendownload,2
sangat bagus,5
Sangat membantu untuk berbagai keperluan terimakasih Canva !,5
Aplikasi canva sanggat bagus dan memudahkan saya untuk mengerjakan tugas-tugas sy,5
Bagus banget aplikasinya,5
bagus,5
nice,1
Membantu Membuat logo dan desain dengan mudah,5
GOOD,5
Sangat terbantu dan mudah diaplikasikan. terimakasih,5
bgus,3
lemot anjir,1
good,5
Terimakasih telah mempermudah dalam membuat media pembelajaran sehingga semakin asyik.,5
keren,5
Aplikasi Canva ini bisa diandalkan sekali untuk membantu membuat persentase dan amat payah untuk membuat video terutama yang berkenaan dengan audio.,4
bagus,5
Aplikasinya mantul sangat membantu,5
Bikin kanva offline 😕🤪🤪🤪🤪🤪🤪🤪🤪,1
oke,5
ini gimana cara masuk nya ko ga bisa ua,3
ok,4
☺️🙏👍,5
"Maaf ya canva ini bagus aku suka taoi kekurangan nya dia itu lemot bgt dan nguras banyak internet, apalagi klo buat poster pas buru² trus lemot",3
baik,5
Mantaap,5
"Untuk mengedit video tidak disarankan menggunakan canva. Hasilnya jelek, putus-putus, susah menggunakan elemen lainnya dan lemot. Benar-benar bikin kecewa!!",1
Aplikasi yang sangat kreatif tapi sayang jaringan di tempat saya sangat buruk,5
alapyu,5
👍👍👍👍👍👍👍👍👍👍,5
mantap,5
hebat dan mudah di gunakan,5
keren,5
Kenapa canva gk bisa di buka pdahal sinyal banyak,1
bagua,3
keren,5
Kren banget semoga tetap the best,3
sangat baguss,5
bagus 👍👍,5
teh daun kelor yang di proses di dalam suhu ruang dengan tingkat suhu berkisar 30 - 40drajat sehingga nutrisi yang ada pada daun kelor tetap terjaga,5
bagus dan canva nya bisa buat tugas,5
Keren pokoknya.,5
keren aplikasinya,5
knp g bs log in,1
keren,5
mantap bosku,5
bagus,5
bagus sekali,1
Mkasih yah hihi bagus kok,5
bayak bugnya sekarang gmna siiii udh ga sebagus dulu,1
sangatlah berguna,4
sangat membantu UMKM dalam membuat iklan produk. Terimakasih canva,5
