content,target_type
matio,1
sangat cukup bantu,0
bagus,1
sangat bantu,1
ok,1
bagus sekali,1
mantap,1
baik,1
mantap,1
puas sangat terima kasih canva,1
sangat mudah dan bagus,1
sangat bantu kerja sekolah,1
manfaat terima kasih,1
mayan bantu aamiin,1
bagus tetapi sering lag,1
sangat bantu,1
suka sangat,1
canva bantu,1
canva beri mudah bagi kita guna,0
sangat bagus,1
sangat mudah dan manfaat,1
ok baik sekali,1
baru mau ajar,1
bagus sekali kembang lagiya,1
bagus apakah nyaa,1
sangat bagus,1
kereennn bangettt huhuuuu jadi gampang sangat dahh buat edit foto vidio,1
terimakaih aplikasi yang sangat bagus,1
buat poster sangat bagus dan tarik tiap buat,1
bagus untuk canva,1
sangat bagusss,1
ok,1
canva sangat bantu sekali dalam dunia per desain nan,1
perveck,1
baik,0
very good,1
keren,1
sangat bantu,1
maa syaa allah sangat baik untuk desain apa itu,1
mantap dan lengkap,1
servernya suka lot dan eror,0
lintang,1
sangat bantu dan mudah mantap,1
mudah sekali untuk bikin materi,1
bagus sekali aplikasi saya suka,1
aplikasi yang manfaat,1
keren,0
sangat bagus bisa bantu bagi raka yang belum paham ps,1
oke sekali,1
bagus,1
terlalu lot dan banyak bug,0
beberapa kali edit gambar pakai canva lancar fitur dan template nya banyak overall bintang,1
aplikasi keren mnurutq dalam dunia desain praktis sangat buat yang buru buat desain,1
sangarrr,1
mantap,1
aplikasi sangat bagus,1
bagus,1
sangat mudah di guna,1
the best sudah,1
sangat bantu,1
masih coba,1
sangat bagus aplikasi sangat bantu dalam hal desain,1
mantap,1
cacad,0
lucu,1
mantafppp,1
sudah inspirasi seluru indonesia,1
bagus,1
keren habis,1
mantaaappp bagus sekali,1
good,1
guna,1
sangat bagus tetapi harus lebih banyak pulih warna,1
sangat bantu,1
bagus sekali aplikasi sangat bergunaaaa,1
mudah di ajar,1
banyak sekali desain bagus sangat bantu,1
lot,0
perfect,1
bagus sekali,1
mantap,1
hasil bagus mudah aplikasi dan mantap,1
aplikasi good,1
keren,1
buat logo sangat bagus,1
pertama kali coba bagus,1
bagus,1
aplikasi ini bagus saya sangat suka,1
saya kok tidak bisa ganti baju nya mirip tidak ada letak fitur nya,0
lot banh,0
bagus,0
bagus sangat,1
top sangat,1
mantab,1
bagus skli apakah nya,1
cukup baik,1
sangat bantu,1
bagus tetapi jangan lelet,1
guud,1
keren,1
ok,1
disain mudah di paham,1
awal saya pakai aplikasi ini bagus tetapi telah lama jadi warna putih kalau sudah di baik saya kasih bintang,1
bagusssssss bangttttttttttt canvaaaaaa,1
mantap aplikasi,1
saya sangat kes dan kenan untuk ajar,1
bagus,1
bagus buat bikin tugas presentasi,1
baik,1
mantaap,1
saya tidak pernah langgan di apakah ini mungkin teman atau keluarga tanpa tahu saya minta kembali dana syaa mohon,0
wooo,1
stay since tahun of october then i had to uninstall yesterday i dont wanna made spamming or worsen due to my data breach,1
aplikasi baik,1
best,1
sangat bantu,1
mantaf,1
aplikasi bagus sekali suka karena bikin tugas jadi lebih gampang,1
keren,1
sangat bantu,1
bagus sekali buat mula seperti saya,1
top,1
keren,1
yeq,0
sangat bantu,1
buagooouusss,1
sangat baik,1
mantap,1
baguss sangat bantu buat nilai,1
good,1
bagus sekali meski awal bikin pusing soal tidak paham,1
aplikasi yang bagus manfaat,1
baik,1
bagus dan mudah,1
sangat bantu,1
yang grtis lebih banyak lagi dong,1
keren,1
bagus,1
ok,1
canva so great seru,1
mantap bantu untuk kembang usaha saya,1
baru mau tes,1
sangat bantu dalam buat tugas dan kreativitas,1
aplikasi canva bagus dan mantap,1
sangat bagusss dan bisa untuk selesai tugas dari sekolah apakah nya sangat guna dan manfaat dan cocok buat yang sedan desain gambar pola untuk tugas atau lain,1
tidak bisa mendownload,0
sangat bagus,1
sangat bantu untuk bagai perlu terima kasih canva seru,1
aplikasi canva sanggat bagus dan mudah saya untuk kerja tugas tugas saya,1
bagus sekali aplikasi,1
bagus,1
nice,0
bantu buat logo dan desain dengan mudah,1
good,1
sangat bantu dan mudah aplikasi terima kasih,1
bagus,1
lot anjir,0
good,1
terima kasih telah mudah dalam buat media ajar sehingga makin asyik,1
keren,1
aplikasi canva ini bisa andal sekali untuk bantu buat persentase dan amat payah untuk buat video utama yang kena dengan audio,1
bagus,1
aplikasi mantul sangat bantu,1
bikin kanva offline,0
oke,1
ini gimana cara masuk nya ko tidak bisa ua,1
ok,1
maaf ya canva ini bagus saya suka taoi kurang nya dia itu lot sangat dan nguras banyak internet apalagi kalau buat poster pas buru terus lot,1
baik,1
mantaap,1
untuk edit video tidak saran guna canva hasil jelek putus putus susah guna elemen lain dan lot benar benar bikin kecewa seru seru,0
aplikasi yang sangat kreatif tetapi sayang jaring di tempat saya sangat buruk,1
alapyu,1
mantap,1
hebat dan mudah di guna,1
keren,1
kenapa canva tidak bisa di buka padahal sinyal banyak,0
bagua,1
keren,1
kren sekali moga tetap the best,1
sangat baguss,1
bagus,1
teh daun kelor yang di proses di dalam suhu ruang dengan tingkat suhu kisar drajat sehingga nutrisi yang ada pada daun kelor tetap jaga,1
bagus dan canva nya bisa buat tugas,1
keren pokok,1
keren aplikasi,1
kenapa tidak bisa log in,0
keren,1
mantap bos,1
bagus,1
bagus sekali,0
mkasih yah hihi bagus kok,1
bayak bugnya sekarang bagaimana siiii sudah tidak bagus dulu,0
sangat guna,1
sangat bantu umkm dalam buat iklan produk terima kasih canva,1
bagus bisa edit fto video hanya kalau elemen mau yang lebih bagus harus pakai canva pro yaitu harus bayar ya pokok the best tetapi sedikit susah untuk bikin ky poster ajar dagang jadi saya hanya bisa asih bintang saja dulu,1
bug nya makin banyak bikin kesal saja waktu ngedit kurang nyaman mirip lag oading lama sekali refresh kali kali masih problem saja sinyal banyak dan ruang simpan juga masih banyak kosong nya tolong baik cepat karena turut saya canva aplikasi yang sangat bantu desain an,1
bagus,1
baguss,1
tks canva,1
mantap bingitsz,1
apakah nya sangat bagus sekali,1
baik,1
keren bagus aplk nya,0
baik,1
kalian wajib download karana fitur nya bagus terima kasih saya jadi suka terima kasih banyak sudah ada fitur fitur lain,1
bagus,1
aplikasi yang bagus,1
mantap,1
ini cocok buat orang gambar sihh pokok bagus sangat dehhh,1
sangat bantu ketika buat tugas desain,1
sangat mudah guna,1
bagussssss,1
tolong di baik lagi saat untuk login ke akun ajar id terkadang situs error,0
sangat bagus,0
sangat bagus,1
rekomendasi sekali karena sudah komplit semua,1
salah satu aplikasi yang sangat bagus dan cocok bagi desainer,1
guna sekali aplikasi ini,1
bagus sekali,1
bagus,1
sangat bantu untuk kreasi,1
mantap bangat,1
this is so good to use seru seru,1
bagus sekali,1
bagus,1
sudah lama menggunalan aplikasi canva tetapi minggu ini tidak bisa masuk mohon cerah min,1
sangat bantu,1
sangat bagus,1
canva sangat bantu saya dalam buat vidio ajar,1
bagus,1
aplikasi bagus sekali cocok untuk latih bikin logo bintang sih,1
bagus,1
mudah guna,1
sangat bagus,1
kereeeee,1
aplikasi ini bagus sekali untuk ajar seperti saya,1
